Date,Hour,Custom dimension 2,Custom dimension 10,Custom dimension 5,Custom dimension 3,Total events
2018-10-17,0,5848208685001,Highlight Clip,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Nets 2018-10-12,1
2018-10-17,0,5848212795001,Highlight Package,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Nets 2018-10-12,1
2018-10-17,0,5848245394001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks at Nets 2018-10-03,1
2018-10-17,1,5848217072001,Highlight Clip,"Alan Hahn,Wally Szczerbiak",Knicks vs Nets 2018-10-12,1
2018-10-17,1,5848219492001,Highlights Analysis,"Alan Hahn,Wally Szczerbiak",Knicks vs Nets 2018-10-12,1
2018-10-17,1,5848245394001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks at Nets 2018-10-03,2
2018-10-17,1,5848247251001,Highlights Analysis,"Alan Hahn,Wally Szczerbiak",Knicks vs Nets 2018-10-12,1
2018-10-17,2,5848217072001,Highlight Clip,"Alan Hahn,Wally Szczerbiak",Knicks vs Nets 2018-10-12,1
2018-10-17,2,5848243445001,Player Interview,"Alan Hahn,Wally Szczerbiak",Knicks vs Nets 2018-10-12,1
2018-10-17,2,5848247251001,Highlights Analysis,"Alan Hahn,Wally Szczerbiak",Knicks vs Nets 2018-10-12,1
2018-10-17,5,5848245394001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks at Nets 2018-10-03,1
2018-10-17,6,5848245394001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks at Nets 2018-10-03,1
2018-10-17,7,5716182251001,Highlight Package,Bill Pidto,Knicks at Lakers 2018-01-21,1
2018-10-17,8,5848245394001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks at Nets 2018-10-03,1
2018-10-17,10,5848217072001,Highlight Clip,"Alan Hahn,Wally Szczerbiak",Knicks vs Nets 2018-10-12,1
2018-10-17,10,5848219492001,Highlights Analysis,"Alan Hahn,Wally Szczerbiak",Knicks vs Nets 2018-10-12,1
2018-10-17,10,5848220482001,Highlights Analysis,"Alan Hahn,Wally Szczerbiak",Knicks vs Nets 2018-10-12,1
2018-10-17,10,5848245394001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks at Nets 2018-10-03,1
2018-10-17,10,5848247251001,Highlights Analysis,"Alan Hahn,Wally Szczerbiak",Knicks vs Nets 2018-10-12,1
2018-10-17,11,5848246997001,Player Interview,Rebecca Haarlow,Knicks vs Nets 2018-10-12,1
2018-10-17,12,5848217072001,Highlight Clip,Rebecca Haarlow,Knicks vs Nets 2018-10-12,1
2018-10-17,12,5848245394001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks at Nets 2018-10-03,1
2018-10-17,12,5848246997001,Player Interview,Rebecca Haarlow,Knicks vs Nets 2018-10-12,1
2018-10-17,13,5767280234001,Player Interview,Rebecca Haarlow,Knicks vs Cavaliers 2018-04-09,1
2018-10-17,14,5848208685001,Highlight Clip,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Nets 2018-10-12,1
2018-10-17,14,5848245394001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks at Nets 2018-10-03,1
2018-10-17,14,5848247251001,Highlights Analysis,"Alan Hahn,Wally Szczerbiak",Knicks vs Nets 2018-10-12,1
2018-10-17,15,5636493159001,Player Interview,Rebecca Haarlow,Knicks vs Pacers 2017-11-05,1
2018-10-17,15,5848245394001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks at Nets 2018-10-03,2
2018-10-17,17,5845130839001,Player Interview,Rebecca Haarlow,Knicks vs Pelicans 2018-10-05,1
2018-10-17,17,5848245394001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks at Nets 2018-10-03,2
2018-10-17,18,5725976507001,Highlights Analysis,"Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-02-04,1
2018-10-17,18,5848245394001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks at Nets 2018-10-03,2
2018-10-17,19,5848212795001,Highlight Package,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Nets 2018-10-12,1
2018-10-17,19,5848245394001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks at Nets 2018-10-03,2
2018-10-17,21,5845138008001,Highlights Analysis,"Alan Hahn,Wally Szczerbiak",Knicks vs Pelicans 2018-10-05,1
2018-10-17,21,5848247251001,Highlights Analysis,"Alan Hahn,Wally Szczerbiak",Knicks vs Nets 2018-10-12,1
2018-10-17,22,5667874917001,Segment,Bill Pidto,Knicks at Pacers 2017-12-04,2
2018-10-17,22,5844106048001,Highlight Clip,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,2
2018-10-17,22,5844106048001,Highlight Clip,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,2
2018-10-17,22,5844106048001,Player Interview,Rebecca Haarlow,Knicks vs Nets 2018-10-12,1
2018-10-17,22,5848247251001,Highlights Analysis,"Alan Hahn,Wally Szczerbiak",Knicks vs Nets 2018-10-12,1
2018-10-17,22,5848250717001,Player Interview,Rebecca Haarlow,Knicks vs Nets 2018-10-12,2
2018-10-17,22,5848516112001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-17,22,5848522853001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-17,22,5848694765001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,2
2018-10-17,22,5848694765001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-17,22,5848695628001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-17,22,5848700960001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-17,22,5849099855001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-17,22,5849104347001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-17,22,5849592693001,Highlight Clip,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-17,22,5849592693001,Player Interview,Rebecca Haarlow,Knicks vs Nets 2018-10-12,1
2018-10-17,22,5849651956001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-17,22,5849666321001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-17,22,5849666321001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-17,22,5849687644001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-17,22,5849687644001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-17,22,5849690352001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-17,22,5849692807001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-17,22,5849694636001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-17,22,5849703641001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,2
2018-10-17,22,5849707812001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,2
2018-10-17,22,5849707812001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-17,22,5849735074001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-17,22,5849940753001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-17,22,5850110516001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-17,22,5850118569001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-17,22,5850126146001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-17,22,5850138115001,Feature,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,2
2018-10-17,22,5850138115001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-17,22,5850138115001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-17,22,5850147582001,Highlight Clip,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,3
2018-10-17,22,5850147582001,Highlight Clip,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,2
2018-10-17,22,5850147582001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-17,22,5850152779001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,4
2018-10-17,22,5850152779001,Highlights Analysis,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,2
2018-10-17,22,5850158217001,Highlight Clip,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,3
2018-10-17,22,5850158217001,Highlight Clip,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,2
2018-10-17,22,5850162130001,Highlight Clip,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,4
2018-10-17,22,5850162130001,Highlight Clip,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,2
2018-10-17,22,5850170559001,Player Interview,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,2
2018-10-17,22,5850170559001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,28
2018-10-17,22,5850175408001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,29
2018-10-17,23,5844106048001,Coach Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-17,23,5844106048001,Highlight Clip,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,21
2018-10-17,23,5844106048001,Highlight Clip,"Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-17,23,5844106048001,Highlight Clip,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,3
2018-10-17,23,5844106048001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,39
2018-10-17,23,5844106048001,Highlights Analysis,"Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,4
2018-10-17,23,5844106048001,Player Interview,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,5
2018-10-17,23,5844106048001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,4
2018-10-17,23,5847716087001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-17,23,5848212795001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-17,23,5848247453001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-17,23,5848250717001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,2
2018-10-17,23,5848515754001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-17,23,5848515754001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-17,23,5848516112001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,2
2018-10-17,23,5848522853001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-17,23,5848671720001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-17,23,5848675549001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-17,23,5849234010001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,6
2018-10-17,23,5849234010001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-17,23,5849592254001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,2
2018-10-17,23,5849592254001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-17,23,5849592693001,Highlight Clip,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,2
2018-10-17,23,5849592693001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,10
2018-10-17,23,5849592693001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-17,23,5849593126001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,2
2018-10-17,23,5849593126001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-17,23,5849597511001,Highlight Clip,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-17,23,5849597511001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,4
2018-10-17,23,5849597511001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-17,23,5849690352001,Player Interview,Rebecca Haarlow,Knicks at Nets 2018-10-19,1
2018-10-17,23,5849690352001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-17,23,5849707812001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-17,23,5850138115001,Feature,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-17,23,5850147582001,Highlight Clip,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,13
2018-10-17,23,5850147582001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-17,23,5850152779001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,10
2018-10-17,23,5850158217001,Highlight Clip,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,12
2018-10-17,23,5850158217001,Highlight Clip,"Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-17,23,5850158217001,Highlight Clip,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,3
2018-10-17,23,5850162130001,Highlight Clip,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,13
2018-10-17,23,5850162130001,Highlight Clip,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-17,23,5850170559001,Player Interview,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,11
2018-10-17,23,5850170559001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,15
2018-10-17,23,5850173794001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,2
2018-10-17,23,5850175408001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,77
2018-10-17,23,5850175408001,Highlights Analysis,"Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,2
2018-10-17,23,5850175804001,Player Interview,Rebecca Haarlow,Knicks at Nets 2018-10-19,1
2018-10-17,23,5850178854001,Highlights Analysis,"Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,5
2018-10-17,23,5850183430001,Coach Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-18,0,5731267000001,Highlight Package,Arda Ocal,Knicks at Pacers 2018-02-11,1
2018-10-18,0,5844106048001,Feature,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-18,0,5844106048001,Highlight Clip,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,12
2018-10-18,0,5844106048001,Highlight Clip,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,2
2018-10-18,0,5844106048001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,24
2018-10-18,0,5844106048001,Highlights Analysis,"Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,3
2018-10-18,0,5844106048001,Highlights Analysis,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-18,0,5844106048001,Player Interview,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,2
2018-10-18,0,5844106048001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,7
2018-10-18,0,5848247453001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-18,0,5848250717001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-18,0,5849234010001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,3
2018-10-18,0,5849234010001,Highlights Analysis,"Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-18,0,5849234010001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-18,0,5849592254001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-18,0,5849592693001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,6
2018-10-18,0,5849592693001,Highlights Analysis,"Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-18,0,5849592693001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-18,0,5849593126001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,2
2018-10-18,0,5849593126001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-18,0,5849597511001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,2
2018-10-18,0,5849597511001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,3
2018-10-18,0,5850138115001,Feature,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-18,0,5850147582001,Highlight Clip,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,2
2018-10-18,0,5850147582001,Highlight Clip,"Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-18,0,5850152779001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,4
2018-10-18,0,5850158217001,Highlight Clip,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,7
2018-10-18,0,5850158217001,Highlight Clip,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-18,0,5850162130001,Highlight Clip,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,4
2018-10-18,0,5850162130001,Highlight Clip,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-18,0,5850170559001,Player Interview,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,5
2018-10-18,0,5850170559001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,8
2018-10-18,0,5850173794001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,3
2018-10-18,0,5850175408001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,33
2018-10-18,0,5850175408001,Highlights Analysis,"Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-18,0,5850178854001,Highlights Analysis,"Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,6
2018-10-18,0,5850178854001,Highlights Analysis,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-18,0,5850183430001,Coach Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-18,1,5844106048001,Coach Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-18,1,5844106048001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-18,1,5844106048001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-18,1,5848212795001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-18,1,5848217072001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-18,1,5848219492001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-18,1,5848243445001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-18,1,5848245394001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks at Nets 2018-10-03,1
2018-10-18,1,5848245394001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-18,1,5848246997001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-18,1,5848247251001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-18,1,5848247453001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-18,1,5848250717001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-18,1,5849234010001,Coach Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-18,1,5849234010001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-18,1,5849234010001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-18,1,5849592254001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-18,1,5849592693001,Coach Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-18,1,5849592693001,Highlight Clip,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,4
2018-10-18,1,5849592693001,Highlight Clip,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,2
2018-10-18,1,5849592693001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,10
2018-10-18,1,5849592693001,Highlights Analysis,"Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-18,1,5849592693001,Player Interview,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-18,1,5849592693001,Player Interview,Rebecca Haarlow,Knicks at Nets 2018-10-19,1
2018-10-18,1,5849592693001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,9
2018-10-18,1,5849593126001,Coach Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-18,1,5849593126001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-18,1,5849597511001,Coach Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,1
2018-10-18,1,5849597511001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,2
2018-10-18,1,5850138115001,Feature,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,3
2018-10-18,1,5850147582001,Highlight Clip,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,5
2018-10-18,1,5850147582001,Highlight Clip,"Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-18,1,5850147582001,Highlight Clip,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,2
2018-10-18,1,5850152779001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,6
2018-10-18,1,5850152779001,Highlights Analysis,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,2
2018-10-18,1,5850158217001,Highlight Clip,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,7
2018-10-18,1,5850158217001,Highlight Clip,"Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-18,1,5850158217001,Highlight Clip,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,3
2018-10-18,1,5850162130001,Highlight Clip,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,6
2018-10-18,1,5850162130001,Highlight Clip,"Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-18,1,5850162130001,Highlight Clip,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,2
2018-10-18,1,5850170559001,Player Interview,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,4
2018-10-18,1,5850170559001,Player Interview,"Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-18,1,5850170559001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,7
2018-10-18,1,5850173794001,Player Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,3
2018-10-18,1,5850175408001,Highlights Analysis,"Al Trautwig,Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,15
2018-10-18,1,5850175408001,Highlights Analysis,"Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-18,1,5850175804001,Player Interview,Rebecca Haarlow,Knicks at Nets 2018-10-19,3
2018-10-18,1,5850178854001,Highlights Analysis,"Alan Hahn,Wally Szczerbiak",Knicks vs Hawks 2018-10-17,1
2018-10-18,1,5850178854001,Highlights Analysis,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,2
2018-10-18,1,5850183430001,Coach Interview,Rebecca Haarlow,Knicks vs Hawks 2018-10-17,2
